marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class
1,37.0,34.0,6540.02978515625,1436.9736328125,1635.24462890625,53.762801829725504,-6.247967937961221,40.0,35.40177536010742,1.0,1014.05517578125,1,pitch
2,82.0,83.0,1494.3380126953125,322.8058776855469,1074.341552734375,53.76302311196923,-6.247363770380616,120.0,0.0,1.0,1030.5299072265625,1,putt
3,90.0,85.0,1634.7005615234375,215.48574829101562,679.3006591796875,53.76306753605604,-6.247386736795306,80.0,0.0,2.0,1036.7667236328125,1,putt
4,133.0,131.0,7300.8076171875,1768.421142578125,4486.455078125,53.76301037147641,-6.247827373445034,80.0,37.46114730834961,1.0,1022.2243041992188,2,pitch
5,176.0,177.0,1687.60986328125,222.19485473632812,755.0853271484375,53.76345477998257,-6.247199568897486,80.0,3.0276713371276855,1.0,1034.5543212890625,2,putt
6,184.0,185.0,2169.678955078125,425.9630432128906,846.1514892578125,53.76341085880995,-6.247329991310835,80.0,15.03466796875,2.0,1027.1458740234375,2,putt
7,228.0,226.0,6183.64208984375,1414.189697265625,3480.680419921875,53.76324472948909,-6.2470924481749535,80.0,32.0176887512207,1.0,1015.0491333007812,3,pitch
8,270.0,271.0,1378.1099853515625,178.95274353027344,577.9381103515625,53.76371135003865,-6.24700871296227,120.0,0.0,2.0,1023.3779296875,3,putt
9,277.0,272.0,1634.6326904296875,369.4568176269531,411.58013916015625,53.763650162145495,-6.24697208404541,120.0,4.28655481338501,3.0,1034.6728515625,3,putt
10,321.0,317.0,6937.66357421875,1692.187255859375,5007.76416015625,53.763655945658684,-6.247283974662423,80.0,33.85852813720703,1.0,1014.3051147460938,4,pitch
11,374.0,373.0,1793.9376220703125,250.1708526611328,528.7535400390625,53.76404360868037,-6.246749209240079,160.0,0.0,1.0,1014.136474609375,4,chip
12,391.0,392.0,1725.46337890625,339.76068115234375,429.13616943359375,53.763980492949486,-6.246827831491828,280.0,1.7522028684616089,1.0,1008.2583618164062,4,putt
13,428.0,427.0,7173.72607421875,1708.7835693359375,4453.8505859375,53.76411787234247,-6.246612584218383,40.0,41.60579299926758,1.0,1091.7431640625,5,pitch
14,480.0,481.0,1665.6092529296875,234.23977661132812,1054.023681640625,53.764426996931434,-6.245930464938283,40.0,26.3505916595459,3.0,1020.7803344726562,5,putt
15,487.0,488.0,1834.7342529296875,415.8097229003906,402.091796875,53.764453986659646,-6.246041525155306,160.0,2.249112367630005,1.0,1032.571533203125,5,putt
16,547.0,546.0,6797.86572265625,1653.1041259765625,3534.72509765625,53.76420546323061,-6.2466515600681305,40.0,47.17345428466797,1.0,1118.0435791015625,6,pitch
17,594.0,595.0,1510.2933349609375,217.622802734375,377.1080322265625,53.76460167579353,-6.246210420504212,40.0,0.0,3.0,1007.7197265625,6,putt
18,602.0,597.0,1857.141357421875,354.9987487792969,558.7322998046875,53.76463495194912,-6.246134312823415,80.0,0.0,2.0,1036.930908203125,6,putt
19,648.0,645.0,4675.25634765625,998.093505859375,1118.68359375,53.7645254842937,-6.2465334590524435,80.0,23.434724807739258,1.0,1013.2194213867188,7,pitch
20,691.0,692.0,1484.951904296875,202.14524841308594,316.7763671875,53.76482807099819,-6.246191896498203,80.0,0.0,1.0,1008.6057739257812,7,putt
21,735.0,733.0,6665.921875,1762.8582763671875,4059.13671875,53.7649190146476,-6.246179910376668,80.0,45.501487731933594,1.0,1015.1278686523438,8,pitch
22,788.0,789.0,1441.2237548828125,99.12504577636719,370.8663330078125,53.76463059335947,-6.245642965659499,40.0,0.0,1.0,1021.8787231445312,8,putt
23,829.0,827.0,8086.80224609375,2003.4293212890625,3459.8818359375,53.76448801718652,-6.24557314440608,80.0,63.46852493286133,1.0,1010.9288940429688,9,pitch
24,888.0,888.0,1671.5875244140625,216.82949829101562,507.5462646484375,53.76413061283529,-6.246187286451459,120.0,7.059200763702393,1.0,1026.4554443359375,9,putt
25,941.0,940.0,8452.0185546875,2141.7919921875,5183.61279296875,53.76427922397852,-6.245681354776025,80.0,49.90065002441406,1.0,1113.0946044921875,10,pitch
26,1015.0,1011.0,3660.3427734375,819.8482055664062,1366.2042236328125,53.76388426870108,-6.246129535138607,80.0,0.0,1.0,1084.6551513671875,10,chip
27,1045.0,1045.0,1815.5577392578125,259.41094970703125,669.9307250976562,53.76386599615216,-6.246279571205378,80.0,4.699906826019287,1.0,1030.25537109375,10,putt
28,1053.0,1054.0,1507.793701171875,281.2105712890625,213.657470703125,53.76385803334415,-6.246242439374328,160.0,3.032097101211548,1.0,1032.6021728515625,10,putt
29,1106.0,1104.0,7131.60498046875,1849.91748046875,3956.662353515625,53.76401050016284,-6.245718654245138,80.0,36.67351150512695,1.0,1028.3472900390625,11,pitch
30,1149.0,1147.0,1535.9921875,251.33984375,701.5650634765625,53.76367815770209,-6.246264232322574,320.0,0.0,1.0,1008.6526489257812,11,chip
