marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class,dist_to_green,on_green_strict,on_green_buffer
1,105.0,102.0,6196.2021484375,1491.534912109375,3585.748046875,53.72311661951244,-6.368736997246742,80.0,0.0,1.0,1177.9547119140625,1,pitch,49.87611150594533,0.0,0.0
2,145.0,144.0,1789.0908203125,246.75772094726562,214.3131103515625,53.723119301721454,-6.369268242269754,120.0,2.3553671836853027,1.0,1010.7125854492188,1,chip,15.49666545125355,0.0,0.0
3,162.0,163.0,1474.3341064453125,127.6181869506836,488.3701171875,53.72307286597788,-6.369445687159896,80.0,0.0,1.0,1023.94970703125,1,putt,3.055631396368307,1.0,1.0
4,169.0,170.0,1614.796875,374.81134033203125,855.8238525390625,53.72306440025568,-6.369431102648377,80.0,7.960290908813477,2.0,1023.8466796875,1,putt,4.189405620462061,0.0,1.0
5,290.0,287.0,7896.9765625,1850.7283935546875,2153.38134765625,53.72243843972683,-6.371244275942445,80.0,46.21544647216797,1.0,1014.2930297851562,3,pitch,27.077313522449305,0.0,0.0
6,339.0,340.0,1570.7510986328125,264.5735778808594,526.3251953125,53.7219615932554,-6.371062304824591,40.0,2.5310473442077637,2.0,1033.35205078125,3,putt,2.5001373838733634,1.0,1.0
7,404.0,402.0,5833.9072265625,1458.28173828125,3699.4853515625,53.721457086503506,-6.37059124186635,80.0,37.51366424560547,1.0,1012.9225463867188,5,pitch,25.994985066639632,0.0,0.0
8,444.0,444.0,1456.93994140625,140.96095275878906,229.8221435546875,53.72177140787244,-6.3703952729702,120.0,0.0,1.0,1028.2474365234375,5,putt,2.27634947201327,1.0,1.0
9,450.0,451.0,1594.2427978515625,350.05279541015625,255.92739868164062,53.72177199460566,-6.370393009856343,440.0,1.6791741847991943,1.0,1020.01220703125,5,putt,2.429750630930012,1.0,1.0
10,493.0,491.0,6147.17822265625,1473.0458984375,5245.6298828125,53.72193711809814,-6.370713030919433,80.0,29.092763900756836,1.0,1013.0379028320312,6,pitch,25.48923933493824,0.0,0.0
11,533.0,534.0,1352.0543212890625,196.78416442871094,429.942626953125,53.72227021493018,-6.370878322049975,40.0,0.0,2.0,1027.6702880859375,6,putt,3.525143088640436,0.0,1.0
12,577.0,575.0,8843.6171875,2051.017333984375,5260.7900390625,53.722056141123176,-6.3706841971725225,40.0,57.52935028076172,1.0,1037.1038818359375,7,pitch,28.654393659688154,0.0,0.0
13,632.0,633.0,1187.8497314453125,68.8281478881836,308.394775390625,53.72259828262031,-6.3706400245428085,80.0,0.0,1.0,1020.9574584960938,7,putt,3.8967957859320186,1.0,1.0
14,648.0,649.0,1479.35595703125,187.55250549316406,353.5682373046875,53.72252971865237,-6.370620913803577,80.0,0.0,2.0,1025.016845703125,7,putt,3.872326466195813,1.0,1.0
15,717.0,715.0,6873.30908203125,1698.6666259765625,3028.833984375,53.72227658517659,-6.370036778971553,40.0,39.04481506347656,1.0,1058.1302490234375,9,pitch,20.991321604267767,0.0,0.0
16,766.0,767.0,1381.0072021484375,120.75564575195312,268.222900390625,53.72186972759664,-6.369666717946529,160.0,0.0,2.0,1029.6419677734375,9,putt,6.118249384586875,0.0,1.0
17,773.0,769.0,1547.166748046875,181.93067932128906,273.8385009765625,53.721870984882116,-6.369664873927832,120.0,0.0,1.0,1039.6912841796875,9,putt,6.1694916652976355,0.0,1.0
18,872.0,870.0,7539.8046875,1839.67919921875,4398.51416015625,53.72143881395459,-6.370429638773203,80.0,51.6910285949707,1.0,1017.8043823242188,10,pitch,36.70138154074615,0.0,0.0
19,925.0,926.0,1402.9857177734375,237.04815673828125,343.94073486328125,53.72175640426576,-6.369996294379234,160.0,0.0,2.0,1026.5498046875,10,putt,6.092700208668524,0.0,1.0
20,938.0,939.0,1791.57861328125,257.7314147949219,777.6974487304688,53.72171759605408,-6.3700177520513535,80.0,0.0,1.0,1024.570068359375,10,putt,9.566860033717951,0.0,0.0
21,992.0,991.0,7720.482421875,1972.6671142578125,5335.0927734375,53.72197584249079,-6.369517436251044,80.0,0.0,1.0,1151.1849365234375,12,pitch,14.9721039059593,0.0,0.0
22,1032.0,1033.0,1472.96435546875,303.9379577636719,629.4785766601562,53.7224106118083,-6.369782807305455,40.0,0.0,2.0,1048.6427001953125,12,putt,3.328637190320418,1.0,1.0
23,1038.0,1034.0,1627.5816650390625,294.54913330078125,356.07269287109375,53.722444139420986,-6.369752129539847,120.0,0.0,2.0,1018.1694946289062,12,putt,5.782596803837833,0.0,1.0
24,1082.0,1079.0,8167.560546875,2050.173095703125,5725.66259765625,53.72234707698226,-6.3701629266142845,80.0,43.68444061279297,1.0,1022.1329956054688,13,pitch,17.06519722447847,0.0,0.0
25,1133.0,1134.0,1779.9114990234375,388.897705078125,477.31768798828125,53.72277371585369,-6.36963939294219,160.0,8.428462982177734,1.0,1072.2471923828125,13,chip,9.04333528652385,0.0,0.0
26,1142.0,1136.0,1853.0787353515625,414.15728759765625,706.2532348632812,53.72284596785903,-6.369662191718817,120.0,8.375144958496094,2.0,1066.2186279296875,13,putt,3.3662951949236466,1.0,1.0
27,1178.0,1177.0,5778.30712890625,1526.8643798828125,2223.760498046875,53.72280204668641,-6.369434120133519,80.0,0.0,1.0,1122.8968505859375,14,pitch,18.889077825797518,0.0,0.0
28,1220.0,1221.0,1270.3515625,91.31045532226562,308.88031005859375,53.72240080498159,-6.369326915591955,240.0,0.0,2.0,1027.1849365234375,14,putt,2.868073363722987,1.0,1.0
29,1267.0,1265.0,8648.095703125,2146.103271484375,6043.7939453125,53.72242536395788,-6.369105214253068,80.0,48.557743072509766,1.0,1042.9461669921875,15,pitch,15.414552734233972,0.0,0.0
30,1315.0,1314.0,1944.38525390625,282.61376953125,1225.55224609375,53.72181415557861,-6.368910586461425,40.0,0.0,2.0,1016.2512817382812,15,chip,6.074947648168819,0.0,1.0
31,1335.0,1334.0,2438.493896484375,621.6241455078125,1924.93994140625,53.721844498068094,-6.368931038305163,120.0,24.584392547607422,2.0,1076.9359130859375,15,putt,2.5567963519592993,1.0,1.0
32,1376.0,1374.0,4477.0078125,1158.4066162109375,3320.24462890625,53.72182086110115,-6.368826096877456,80.0,16.748554229736328,1.0,1021.6403198242188,16,pitch,9.764813535026597,0.0,0.0
33,1561.0,1559.0,6026.30517578125,1577.4002685546875,3196.59716796875,53.72199822217226,-6.3684783317148685,80.0,33.1984748840332,1.0,1066.0692138671875,17,pitch,10.311959407756534,0.0,0.0
34,1609.0,1610.0,1513.26171875,255.92813110351562,348.76953125,53.72223232872784,-6.368905724957585,200.0,0.0,2.0,1033.9365234375,17,putt,3.412086142525614,0.0,1.0
35,1772.0,1770.0,8772.62109375,2072.069091796875,3589.3876953125,53.72215169481933,-6.368456622585654,40.0,72.59580993652344,1.0,1118.9815673828125,18,pitch,25.007141931742613,0.0,0.0
36,1833.0,1834.0,1619.7518310546875,135.3474578857422,662.8714599609375,53.72264756821096,-6.369025502353907,40.0,0.0,1.0,1033.2088623046875,18,putt,4.734572357542221,0.0,1.0
