marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class,dist_to_green,on_green_strict,on_green_buffer
1,28.0,25.0,6681.46044921875,1693.1658935546875,5039.6015625,53.72311578132212,-6.3688028790056705,80.0,34.35441970825195,1.0,1039.0421142578125,1,pitch,45.55222236438665,0.0,0.0
2,67.0,68.0,1334.9947509765625,144.4604034423828,367.1527099609375,53.723134053871036,-6.3694145902991295,240.0,0.0,1.0,1028.45556640625,1,putt,8.25340430015677,0.0,0.0
3,77.0,78.0,1914.8848876953125,385.9607849121094,876.7459106445312,53.72307521291077,-6.369449961930513,240.0,9.841360092163086,2.0,1028.2132568359375,1,putt,2.7595572438948843,1.0,1.0
4,237.0,235.0,7648.96826171875,1874.6666259765625,5497.0400390625,53.72243944555521,-6.371235474944115,80.0,0.0,1.0,1211.2403564453125,3,pitch,26.70636598231379,0.0,0.0
5,286.0,286.0,1469.21240234375,203.09695434570312,500.978759765625,53.72199486941099,-6.371151404455304,200.0,0.0,2.0,1021.264404296875,3,chip,4.443703767055777,0.0,1.0
6,297.0,291.0,1542.397216796875,258.7513122558594,494.614501953125,53.721964778378606,-6.371064567938447,160.0,10.182455062866211,3.0,1038.135498046875,3,putt,2.2164140774945977,1.0,1.0
7,372.0,370.0,5724.912109375,1408.01220703125,3800.385986328125,53.72143663465977,-6.3705608155578375,80.0,26.704090118408203,1.0,1017.1494750976562,5,pitch,28.115183142359196,0.0,0.0
8,407.0,401.0,1462.062255859375,208.4291534423828,451.22552490234375,53.721825052052736,-6.370382197201252,400.0,0.0,2.0,1044.2801513671875,5,chip,6.866321936124655,0.0,0.0
9,422.0,416.0,1185.7369384765625,38.77571105957031,162.62890625,53.72174559161067,-6.37037624605,840.0,0.0,1.0,1043.2772216796875,5,putt,4.454472717029717,0.0,1.0
10,464.0,463.0,6049.400390625,1584.858154296875,3946.1728515625,53.72191230766475,-6.370794586837292,120.0,33.61771774291992,1.0,1078.0443115234375,6,pitch,20.90992729982115,0.0,0.0
11,515.0,515.0,1404.987548828125,138.87777709960938,337.9556884765625,53.7222412135452,-6.370909418910742,120.0,0.0,3.0,1028.302734375,6,putt,4.813026265971818,0.0,1.0
12,582.0,580.0,8344.4130859375,2095.218017578125,5052.021484375,53.72206661850214,-6.370651172474027,80.0,62.7849006652832,1.0,1020.6891479492188,7,pitch,30.162916648001634,0.0,0.0
13,638.0,637.0,1394.539306640625,160.71273803710938,222.46734619140625,53.722578417509794,-6.370641281828284,320.0,0.0,1.0,1011.9453125,7,putt,1.710178453283859,1.0,1.0
14,650.0,644.0,1661.8282470703125,253.303466796875,460.56640625,53.72258009389043,-6.370654692873359,160.0,3.95719051361084,1.0,1090.1016845703125,7,putt,2.218087432184996,1.0,1.0
15,710.0,709.0,6013.6796875,1482.429443359375,3753.33154296875,53.72228546999395,-6.370022865012288,120.0,32.95408248901367,1.0,1012.7922973632812,9,pitch,19.645848360783827,0.0,0.0
16,743.0,744.0,1896.9254150390625,457.18414306640625,394.30511474609375,53.72193116694689,-6.3697220385074615,320.0,4.309104919433594,2.0,1031.181640625,9,chip,4.577786163252614,0.0,1.0
17,753.0,754.0,1707.5115966796875,379.68939208984375,794.536865234375,53.72187986969948,-6.369694545865059,80.0,4.261623382568359,1.0,1033.55517578125,9,putt,3.985503591760562,0.0,1.0
