marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class,dist_to_green,on_green_strict,on_green_buffer
1,25.0,23.0,7155.73388671875,1829.8406982421875,2582.10498046875,53.7628623470664,-6.247953185811639,80.0,0.0,1.0,1149.1187744140625,1,pitch,17.456116661865234,0.0,0.0
2,89.0,88.0,1490.8980712890625,203.04034423828125,498.02203369140625,53.76312696374953,-6.247492348775268,280.0,0.0,1.0,1020.236328125,1,putt,6.817213485535425,0.0,1.0
3,109.0,110.0,1262.8040771484375,151.34500122070312,249.35479736328125,53.7630558013916,-6.247397130355239,240.0,0.0,2.0,1027.826904296875,1,putt,5.292838571012795,1.0,1.0
4,219.0,217.0,7802.37744140625,1847.0389404296875,5006.55859375,53.763248920440674,-6.247117929160595,80.0,45.056053161621094,1.0,1016.609375,3,pitch,22.627304415547965,0.0,0.0
5,269.0,267.0,1644.8580322265625,253.74880981445312,808.6134643554688,53.763642283156514,-6.247110050171614,160.0,0.0,2.0,1014.6832885742188,3,chip,13.277543208354691,0.0,0.0
7,343.0,342.0,8443.0908203125,1988.1239013671875,3618.350341796875,53.76421736553311,-6.2466745264828205,40.0,65.7587661743164,1.0,1013.5950317382812,6,pitch,22.134108157823725,0.0,0.0
8,394.0,395.0,2347.1640625,541.0682373046875,699.67236328125,53.76459647901356,-6.246313266456127,80.0,5.483465194702148,2.0,1086.1641845703125,6,chip,8.959612401789888,0.0,1.0
9,410.0,411.0,1419.9306640625,244.1149139404297,456.30615234375,53.76456496305764,-6.2461682595312595,680.0,1.436400294303894,0.0,1005.22900390625,6,putt,9.36754526634345,0.0,1.0
10,447.0,445.0,5083.306640625,1265.9261474609375,3829.68603515625,53.7645307648927,-6.246484005823731,120.0,20.531116485595703,1.0,1013.4548950195312,7,pitch,22.330465249021504,0.0,0.0
11,476.0,476.0,1171.195556640625,60.78897476196289,267.76318359375,53.76471474766731,-6.246309159323573,120.0,0.0,1.0,1025.0394287109375,7,putt,8.656287495008355,0.0,1.0
12,542.0,541.0,6919.3125,1762.890869140625,5369.46826171875,53.76448407769203,-6.24561614356935,80.0,48.98765182495117,1.0,1020.5617065429688,9,pitch,20.726921112757893,0.0,0.0
13,599.0,593.0,2004.87158203125,398.93853759765625,1024.593994140625,53.764024917036295,-6.246427176520228,40.0,0.0,2.0,1105.3009033203125,9,chip,14.362222462819158,0.0,0.0
14,614.0,615.0,1527.261962890625,285.337646484375,545.6607666015625,53.76409155316651,-6.246324582025409,160.0,7.760613918304443,2.0,1028.7664794921875,9,putt,8.68050806693958,0.0,1.0
15,671.0,670.0,7053.53564453125,1730.1749267578125,3874.10888671875,53.76428039744496,-6.245700381696224,80.0,38.92788314819336,1.0,1055.6971435546875,10,pitch,29.166198199157076,0.0,0.0
16,720.0,719.0,1601.2860107421875,227.0899658203125,718.3409423828125,53.76383841969073,-6.246413346379995,120.0,0.0,1.0,1016.0471801757812,10,chip,13.865547549225536,0.0,0.0
18,784.0,781.0,7005.02587890625,1675.75732421875,4097.662109375,53.763993652537465,-6.245706751942635,40.0,44.74592971801758,1.0,1019.3984375,11,pitch,37.94677751588164,0.0,0.0
19,836.0,836.0,1856.46142578125,213.8538055419922,893.5772094726562,53.76367254182696,-6.246439162641764,40.0,2.603672504425049,1.0,1030.6824951171875,11,putt,7.89254402999988,0.0,1.0
20,845.0,840.0,2075.201416015625,446.1172180175781,861.6834716796875,53.76364555209875,-6.246386105194688,120.0,11.104146003723145,1.0,1089.85693359375,11,putt,3.8892604355966656,1.0,1.0
21,895.0,894.0,7598.10986328125,1941.0771484375,5434.8427734375,53.76400270499289,-6.2465328723192215,80.0,38.294612884521484,1.0,1014.4209594726562,12,pitch,18.683496255312377,0.0,0.0
22,940.0,941.0,2057.60693359375,542.4530029296875,356.17108154296875,53.763538682833314,-6.246513342484832,280.0,4.383387565612793,1.0,1066.2100830078125,12,chip,6.858776710417107,0.0,1.0
23,954.0,955.0,1810.9052734375,261.64593505859375,825.8443603515625,53.76348637975752,-6.2465897016227245,160.0,0.0,1.0,1021.722412109375,12,putt,0.8892330371436492,1.0,1.0
24,1019.0,1017.0,7596.39404296875,1877.2939453125,5071.62109375,53.763132244348526,-6.2461629789322615,80.0,42.90514373779297,1.0,1089.0758056640625,13,pitch,20.839775854177454,0.0,0.0
25,1064.0,1064.0,1329.8544921875,108.08609008789062,221.8790283203125,53.763337852433324,-6.246873429045081,240.0,0.0,2.0,1026.97021484375,13,putt,4.057500889420188,1.0,1.0
26,1111.0,1109.0,7073.06689453125,1700.7425537109375,4978.58984375,53.763080360367894,-6.246614595875144,80.0,37.36621856689453,1.0,1020.5413208007812,14,pitch,16.531828140532806,0.0,0.0
27,1156.0,1154.0,1484.96630859375,236.60227966308594,603.938232421875,53.76290274783969,-6.247335523366928,320.0,0.0,1.0,1011.4336547851562,14,chip,5.709936637600587,0.0,1.0
28,1166.0,1160.0,1929.332275390625,429.6194763183594,911.7514038085938,53.76285740174353,-6.247401824221015,120.0,10.201114654541016,2.0,1077.5042724609375,14,putt,1.0250654446807663,1.0,1.0
29,1212.0,1210.0,5743.4189453125,1525.1129150390625,2732.978271484375,53.762833178043365,-6.247846400365233,80.0,32.04370880126953,1.0,1049.9713134765625,15,pitch,13.086752980997094,0.0,0.0
30,1261.0,1262.0,1578.8780517578125,275.7152099609375,408.913330078125,53.76248801127076,-6.247271150350571,120.0,0.0,2.0,1038.9508056640625,15,putt,11.178333120086316,0.0,0.0
31,1266.0,1267.0,1944.4610595703125,297.4524841308594,962.6851196289062,53.76250209286809,-6.247273832559586,40.0,12.232808113098145,2.0,1051.93701171875,15,chip,9.698018430003897,0.0,1.0
32,1306.0,1304.0,5839.7392578125,1453.3087158203125,2900.370361328125,53.76274541951716,-6.24726184643805,80.0,30.857633590698242,1.0,1085.9835205078125,16,pitch,16.05496224186309,0.0,0.0
33,1340.0,1341.0,1457.933837890625,157.33331298828125,437.92108154296875,53.762624468654394,-6.246856162324548,80.0,0.0,2.0,1024.4488525390625,16,putt,32.11635133285374,1.0,0.0
