marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class,dist_to_green,on_green_strict,on_green_buffer
1,27.0,25.0,6694.8232421875,1684.185791015625,3018.716796875,53.76283929683268,-6.247980762273073,80.0,46.31586456298828,1.0,1008.229248046875,1,pitch,15.923832927628878,0.0,0.0
2,72.0,71.0,1682.470458984375,276.1494445800781,720.40966796875,53.76309058628976,-6.247604750096798,40.0,0.0,2.0,1008.16015625,1,chip,13.755724114416314,0.0,0.0
3,83.0,77.0,2160.198486328125,503.6675109863281,1025.93798828125,53.763098968192935,-6.247495533898473,40.0,19.466724395751953,2.0,1050.0238037109375,1,putt,6.521583017085783,0.0,1.0
4,128.0,125.0,8737.7646484375,2186.874755859375,3772.1044921875,53.7630299013108,-6.247836844995618,80.0,73.33717346191406,1.0,1010.9644165039062,2,pitch,30.069334328659068,0.0,0.0
5,175.0,175.0,2132.910400390625,263.1514892578125,999.38623046875,53.7635119445622,-6.247318089008331,40.0,0.0,1.0,1066.6458740234375,2,chip,7.202636558151202,0.0,1.0
6,212.0,211.0,8229.541015625,2038.676513671875,5832.8388671875,53.76325210556388,-6.247148774564266,80.0,46.366432189941406,1.0,1028.3409423828125,3,pitch,23.211339911607723,0.0,0.0
7,262.0,261.0,2226.35595703125,431.6328430175781,473.3623046875,53.763807909563184,-6.2470185197889805,80.0,0.0,1.0,1064.6590576171875,3,chip,10.137512560683483,0.0,0.0
8,282.0,283.0,1499.4959716796875,240.56024169921875,369.9901123046875,53.76365770585835,-6.247030254453421,80.0,3.1621861457824707,1.0,1022.82763671875,3,putt,8.570848688976666,0.0,1.0
9,292.0,293.0,1372.088134765625,131.40187072753906,298.69366455078125,53.763710679486394,-6.24699748121202,40.0,0.0,2.0,1023.24609375,3,putt,2.7443697874939486,1.0,1.0
10,322.0,321.0,8425.1650390625,1690.47607421875,5154.111328125,53.7636549398303,-6.2472656182944775,40.0,0.0,1.0,1352.8280029296875,4,pitch,21.381982628807716,0.0,0.0
11,364.0,365.0,1476.252685546875,224.48748779296875,286.018798828125,53.76402759924531,-6.246847780421376,200.0,0.0,3.0,1027.0391845703125,4,putt,1.8745619159790397,1.0,1.0
12,370.0,366.0,1810.978515625,312.5218505859375,469.490966796875,53.76401158981025,-6.24682204797864,120.0,4.3128156661987305,2.0,1060.6612548828125,4,putt,3.725790520371021,1.0,1.0
13,409.0,407.0,9525.310546875,2242.1728515625,4505.1552734375,53.764120638370514,-6.246726745739579,40.0,78.37528228759766,1.0,1119.5303955078125,5,pitch,11.297202911227254,0.0,0.0
14,452.0,451.0,1941.1185302734375,319.07403564453125,713.605224609375,53.76444744877517,-6.246167169883847,120.0,2.4963080883026123,1.0,1009.6171875,5,chip,8.064457851193337,0.0,1.0
