t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1574589,-0.2666,-0.2178,0.9048,-3.30,-23.99,-4.27
1574602,-0.1494,-0.1582,0.9282,-3.78,-26.18,3.05
1574615,-0.1938,-0.1323,0.9204,-5.37,-27.16,9.58
1574627,-0.2095,-0.1738,0.9478,-5.37,-30.40,11.17
1574640,-0.0303,-0.1797,0.9692,-5.55,-29.60,13.06
1574653,-0.1211,-0.2012,0.9727,-5.07,-31.13,12.33
1574666,0.0674,-0.1562,1.0005,-5.31,-30.76,12.63
1574678,0.0698,-0.1836,1.0063,-5.74,-30.15,13.06
1574691,0.1660,-0.2217,1.0225,-4.88,-29.24,11.84
1574704,0.1665,-0.2002,1.0371,-4.58,-27.71,10.13
1574716,0.1909,-0.1987,1.0425,-3.85,-26.79,7.32
1574729,0.2192,-0.1616,1.0522,-3.97,-24.96,6.16
1574742,0.1772,-0.1748,1.0552,-3.78,-24.23,4.88
1574754,0.2183,-0.1694,1.0825,-3.78,-22.71,4.58
1574767,0.1787,-0.1538,1.1104,-3.91,-22.03,4.33
1574780,0.1904,-0.1362,1.1548,-4.46,-20.87,4.15
1574792,0.1377,-0.1748,1.1592,-4.76,-19.90,3.11
1574805,0.1235,-0.2021,1.1558,-4.21,-19.84,0.85
1574818,0.1782,-0.2324,1.1709,-4.52,-18.25,-0.73
1574831,0.1016,-0.2812,1.1387,-3.48,-17.82,-3.36
1574843,0.0908,-0.2192,1.1152,-3.17,-17.03,-5.49
1574856,0.0371,-0.1807,1.0713,-3.60,-17.58,-6.23
1574869,0.0884,-0.1787,1.0464,-3.85,-17.58,-5.43
1574881,0.0786,-0.1250,1.0327,-4.52,-17.70,-3.91
1574894,0.1089,-0.0669,1.0498,-5.68,-17.46,-4.09
1574907,0.0947,-0.0688,1.0566,-6.77,-16.85,-6.96
1574919,0.1353,-0.0654,1.0718,-7.45,-16.24,-11.54
1574932,0.2051,-0.0801,1.0806,-8.48,-14.47,-15.81
1574945,0.1787,-0.0967,1.0659,-8.91,-12.76,-20.81
1574958,0.1230,-0.0649,1.0483,-9.64,-11.72,-25.70
1574970,0.1309,-0.0649,1.0664,-10.80,-11.60,-27.89
1574983,0.1890,-0.0933,1.0698,-12.45,-10.80,-24.96
1574996,0.1670,-0.0977,1.0767,-14.28,-10.93,-19.47
1575008,0.2007,-0.0933,1.0879,-16.24,-10.62,-14.77
1575021,0.2109,-0.1133,1.0884,-17.82,-9.58,-13.73
1575034,0.1826,-0.1421,1.0723,-18.43,-8.36,-17.40
1575046,0.2217,-0.1562,1.0703,-18.68,-7.08,-22.89
1575059,0.2412,-0.2285,1.0620,-18.62,-4.88,-28.99
1575072,0.2075,-0.2944,1.0137,-17.64,-2.44,-34.85
1575084,0.1206,-0.2939,0.9668,-16.97,-1.46,-38.76
1575097,0.1909,-0.3398,0.9604,-16.78,-0.92,-37.90
1575110,0.1841,-0.4067,0.9316,-16.42,0.06,-32.65
1575123,0.1821,-0.3696,0.9233,-16.36,-0.61,-24.66
1575135,0.3076,-0.3652,0.9458,-17.64,0.00,-14.83
1575148,0.2515,-0.4312,0.9243,-17.27,1.40,-10.07
1575161,0.2593,-0.3369,0.9448,-16.11,2.26,-10.13
1575173,0.3423,-0.2803,0.9438,-16.66,4.82,-10.74
1575186,0.2451,-0.3364,0.8921,-15.69,6.47,-13.73
1575199,0.3159,-0.2524,0.8779,-15.20,7.87,-13.55
1575211,0.3306,-0.2632,0.8379,-15.99,10.44,-11.66
1575224,0.2417,-0.2905,0.7915,-15.38,10.99,-11.96
1575237,0.2896,-0.2583,0.7617,-15.26,12.76,-11.90
1575250,0.2461,-0.2686,0.7222,-14.59,14.10,-14.22
1575262,0.2646,-0.2310,0.7061,-13.85,15.69,-16.60
1575275,0.2417,-0.2456,0.6909,-13.55,17.21,-19.71
1575288,0.2397,-0.2788,0.6890,-12.33,18.49,-24.48
1575300,0.2700,-0.2715,0.7051,-11.35,20.32,-29.91
1575313,0.2534,-0.3174,0.7188,-10.01,22.28,-36.50
1575326,0.2305,-0.3252,0.7476,-8.06,23.99,-46.26
1575338,0.2388,-0.3184,0.7954,-6.90,25.39,-54.20
1575351,0.2563,-0.4819,0.8364,-6.29,26.55,-57.86
1575364,0.2407,-0.3662,0.9023,-6.29,27.04,-55.73
1575376,0.1919,-0.3965,0.9526,-7.69,26.18,-43.09
1575389,0.2017,-0.4761,0.9697,-7.93,24.96,-30.09
1575402,0.2383,-0.4497,0.9839,-7.75,25.51,-22.77
1575415,0.2002,-0.4341,0.9751,-6.77,26.49,-24.23
1575427,0.1597,-0.4453,0.9648,-4.76,27.47,-30.64
1575440,0.2017,-0.4297,0.9746,-2.93,28.87,-37.23
1575453,0.1787,-0.4331,0.9468,-1.46,30.76,-41.63
