t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
104061,0.0479,-0.0933,0.9858,11.11,-11.90,-1.53
104083,0.0527,-0.0649,0.9985,-0.06,-1.65,-0.18
104106,0.0449,-0.0898,1.0005,-9.64,5.49,0.85
104128,0.0332,-0.0986,0.9927,0.55,-0.24,-0.18
104151,0.0415,-0.0825,0.9937,0.61,-1.59,0.00
104173,0.0400,-0.0889,0.9932,-1.34,0.06,0.00
104196,0.0332,-0.0996,0.9878,3.48,-4.94,-0.24
104218,0.0405,-0.0884,0.9863,8.54,-6.59,-0.85
104241,0.0449,-0.1245,0.9722,-22.09,-1.10,2.87
104263,0.0454,-0.0400,1.0195,4.39,-0.67,0.18
104286,0.0439,-0.1064,0.9814,3.48,-0.67,-0.67
104308,0.0464,-0.0874,0.9927,-6.29,-0.49,0.12
104331,0.0454,-0.0908,0.9937,1.28,-0.67,-0.31
104353,0.0444,-0.0972,0.9868,-0.31,-0.67,-0.12
104375,0.0444,-0.0903,0.9888,-1.40,-0.61,0.00
104398,0.0459,-0.0884,0.9907,-0.61,-0.79,-0.06
104420,0.0449,-0.0928,0.9907,-0.79,-0.67,-0.12
104443,0.0420,-0.0923,0.9902,-0.73,-0.79,-0.06
104465,0.0430,-0.0903,0.9922,-0.61,-0.79,-0.12
104488,0.0459,-0.0923,0.9902,-0.73,-0.67,-0.12
104510,0.0444,-0.0923,0.9922,-0.85,-0.73,-0.12
104533,0.0459,-0.0923,0.9907,-0.79,-0.85,-0.06
104555,0.0454,-0.0972,0.9897,-1.28,-0.85,-0.06
104578,0.0420,-0.0898,0.9917,0.55,-0.61,-0.18
104600,0.0435,-0.0825,0.9927,-0.92,-0.73,-0.12
104623,0.0469,-0.0923,0.9897,-1.46,-0.61,0.00
104645,0.0474,-0.0977,0.9888,-0.79,-0.79,-0.12
104667,0.0425,-0.0913,0.9897,-0.49,-0.73,-0.12
104690,0.0425,-0.0913,0.9917,-0.79,-0.73,-0.12
104712,0.0449,-0.0918,0.9897,-0.55,-0.67,-0.12
104735,0.0444,-0.0879,0.9902,-0.55,-0.79,-0.12
104757,0.0449,-0.0894,0.9922,-1.04,-0.73,-0.24
104780,0.0435,-0.0947,0.9897,-1.16,-0.73,-0.06
104802,0.0435,-0.0962,0.9907,-0.37,-0.79,-0.12
104825,0.0454,-0.0889,0.9902,-0.31,-0.61,-0.06
104847,0.0454,-0.0864,0.9902,-0.92,-0.73,-0.12
104870,0.0435,-0.0933,0.9888,-1.22,-0.67,-0.06
104892,0.0425,-0.0962,0.9888,-0.61,-0.79,-0.06
104915,0.0444,-0.0928,0.9912,-0.49,-0.73,-0.12
104937,0.0454,-0.0923,0.9902,-0.79,-0.73,-0.12
104959,0.0449,-0.0913,0.9888,-0.61,-0.79,-0.06
104982,0.0435,-0.0884,0.9902,-0.61,-0.79,-0.06
105004,0.0435,-0.0903,0.9897,-0.73,-0.79,-0.12
105027,0.0449,-0.0952,0.9888,-1.10,-0.79,-0.18
105049,0.0449,-0.0938,0.9907,-0.55,-0.85,0.00
105072,0.0444,-0.0903,0.9917,-0.37,-0.73,-0.12
105094,0.0439,-0.0879,0.9912,-0.79,-0.73,-0.18
105117,0.0449,-0.0947,0.9897,-1.10,-0.67,-0.12
105139,0.0459,-0.0957,0.9878,-0.61,-0.73,-0.06
105162,0.0420,-0.0913,0.9917,-0.43,-0.79,-0.06
105184,0.0439,-0.0923,0.9907,-0.79,-0.79,-0.18
105207,0.0459,-0.0913,0.9902,-0.79,-0.73,-0.06
105229,0.0459,-0.0918,0.9897,-0.61,-0.73,0.00
105251,0.0430,-0.0903,0.9922,-0.73,-0.79,-0.06
105274,0.0439,-0.0952,0.9912,-0.98,-0.67,-0.06
105296,0.0469,-0.0947,0.9902,-0.43,-0.73,-0.06
105319,0.0449,-0.0879,0.9912,-0.37,-0.73,-0.12
105341,0.0454,-0.0894,0.9917,-0.92,-0.79,-0.12
105364,0.0459,-0.0933,0.9893,-1.04,-0.67,-0.12
105386,0.0435,-0.0933,0.9888,-0.67,-0.85,-0.18
105409,0.0435,-0.0889,0.9902,-0.37,-0.73,-0.18
105431,0.0430,-0.0869,0.9897,-0.79,-0.79,-0.06
105454,0.0483,-0.0918,0.9893,-0.92,-0.67,-0.12
105476,0.0444,-0.0952,0.9897,-0.67,-0.61,-0.12
105886,0.0464,-0.0898,0.9893,-0.43,-0.67,-0.12
105909,0.0444,-0.0874,0.9902,-0.67,-0.67,-0.06
105931,0.0430,-0.0889,0.9897,-0.85,-0.79,-0.12
105954,0.0439,-0.0947,0.9873,-0.79,-0.73,-0.12
105976,0.0449,-0.0928,0.9907,-0.55,-0.73,-0.06
105999,0.0449,-0.0913,0.9834,-1.34,-0.79,-0.06
106021,0.0410,-0.0928,0.9976,0.98,-0.73,-0.12
106043,0.0400,-0.0811,0.9897,-1.28,-0.73,-0.06
106066,0.0474,-0.0962,0.9829,-1.34,-0.73,-0.06
106088,0.0469,-0.0947,0.9868,-0.55,-0.79,-0.06
106111,0.0415,-0.0957,0.9893,-0.43,-0.79,-0.18
106133,0.0420,-0.0898,0.9917,-0.67,-0.79,-0.06
106156,0.0435,-0.0913,0.9902,-0.49,-0.61,-0.06
106178,0.0469,-0.0898,0.9897,-0.61,-0.79,-0.06
106201,0.0425,-0.0903,0.9902,-0.92,-0.79,-0.12
106223,0.0430,-0.0977,0.9893,-0.92,-0.73,-0.06
106246,0.0435,-0.0952,0.9912,-0.24,-0.67,-0.12
106268,0.0464,-0.0869,0.9897,-0.37,-0.67,-0.18
106291,0.0459,-0.0879,0.9912,-0.85,-0.73,-0.12
106313,0.0464,-0.0933,0.9878,-1.10,-0.67,-0.06
106335,0.0439,-0.0947,0.9912,-0.55,-0.61,-0.12
106358,0.0420,-0.0908,0.9907,-0.49,-0.73,-0.12
106380,0.0449,-0.0903,0.9897,-0.73,-0.79,-0.12
106403,0.0449,-0.0923,0.9912,-0.73,-0.61,-0.06
106425,0.0410,-0.0908,0.9907,-0.55,-0.67,-0.12
106448,0.0444,-0.0913,0.9893,-0.92,-0.73,-0.06
106470,0.0449,-0.0928,0.9893,-0.85,-0.67,-0.12
106493,0.0464,-0.0918,0.9883,-0.43,-0.67,0.00
106515,0.0444,-0.0879,0.9907,-0.37,-0.67,-0.12
106538,0.0454,-0.0898,0.9922,-1.10,-0.85,-0.06
106560,0.0449,-0.0947,0.9897,-0.98,-0.73,0.00
106583,0.0459,-0.0952,0.9893,-0.49,-0.73,-0.06
106605,0.0439,-0.0913,0.9907,-0.61,-0.67,-0.18
106627,0.0435,-0.0903,0.9888,-0.61,-0.79,-0.12
106650,0.0454,-0.0923,0.9893,-0.73,-0.67,-0.12
106672,0.0444,-0.0918,0.9902,-0.79,-0.73,-0.06
106695,0.0439,-0.0933,0.9893,-0.73,-0.73,-0.12
106717,0.0454,-0.0942,0.9902,-0.73,-0.73,-0.12
106740,0.0435,-0.0918,0.9907,-0.55,-0.73,-0.06
106762,0.0454,-0.0894,0.9917,-0.67,-0.79,0.00
106785,0.0454,-0.0918,0.9907,-0.98,-0.73,-0.12
106807,0.0454,-0.0923,0.9897,-0.67,-0.73,-0.12
106830,0.0439,-0.0913,0.9888,-0.55,-0.79,-0.18
106852,0.0435,-0.0913,0.9917,-0.61,-0.67,-0.18
106875,0.0439,-0.0923,0.9912,-1.04,-0.73,-0.06
106897,0.0439,-0.0947,0.9902,-0.67,-0.55,-0.12
106919,0.0454,-0.0928,0.9888,-0.43,-0.73,-0.12
106942,0.0459,-0.0884,0.9897,-0.67,-0.79,-0.12
106964,0.0439,-0.0898,0.9912,-1.04,-0.79,-0.12
106987,0.0435,-0.0957,0.9888,-0.67,-0.67,-0.12
107009,0.0449,-0.0928,0.9907,-0.61,-0.67,-0.12
