t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
670056,0.0312,-0.1597,0.9814,-0.67,-0.79,-0.12
670079,0.0327,-0.1602,0.9829,-0.79,-0.67,-0.06
670101,0.0308,-0.1602,0.9805,-0.79,-0.79,-0.12
670124,0.0303,-0.1606,0.9834,-0.73,-0.85,-0.06
670146,0.0298,-0.1611,0.9810,-0.79,-0.79,-0.06
670168,0.0322,-0.1626,0.9834,-0.85,-0.67,-0.12
670191,0.0327,-0.1606,0.9814,-0.55,-0.67,-0.12
670213,0.0303,-0.1553,0.9824,-0.61,-0.67,-0.12
670236,0.0288,-0.1587,0.9839,-0.79,-0.67,-0.06
670258,0.0293,-0.1621,0.9785,-0.79,-0.79,-0.06
670281,0.0332,-0.1631,0.9810,-0.67,-0.73,-0.06
670303,0.0312,-0.1592,0.9824,-0.61,-0.67,-0.12
670326,0.0303,-0.1577,0.9839,-0.79,-0.67,-0.06
670348,0.0317,-0.1621,0.9824,-0.79,-0.79,-0.06
670371,0.0342,-0.1611,0.9805,-0.73,-0.67,-0.12
670393,0.0308,-0.1597,0.9814,-0.67,-0.79,-0.12
670416,0.0312,-0.1611,0.9829,-0.67,-0.67,-0.06
670438,0.0288,-0.1597,0.9829,-0.61,-0.73,-0.12
670460,0.0308,-0.1587,0.9824,-0.67,-0.73,-0.06
670483,0.0312,-0.1626,0.9819,-0.85,-0.67,-0.12
670505,0.0322,-0.1626,0.9810,-0.67,-0.85,-0.12
670528,0.0337,-0.1621,0.9834,-0.61,-0.79,-0.12
670550,0.0312,-0.1582,0.9824,-0.79,-0.79,-0.06
670573,0.0317,-0.1597,0.9824,-0.85,-0.61,-0.06
670595,0.0312,-0.1646,0.9863,-0.49,-0.85,-0.06
670618,0.0322,-0.1611,0.9829,-0.61,-0.67,-0.12
670640,0.0303,-0.1606,0.9829,-0.73,-0.73,-0.12
670663,0.0298,-0.1597,0.9814,-0.85,-0.73,-0.06
670685,0.0322,-0.1587,0.9819,-0.67,-0.67,-0.06
670708,0.0322,-0.1597,0.9844,-0.73,-0.79,-0.06
670730,0.0317,-0.1597,0.9834,-0.73,-0.67,-0.12
670752,0.0293,-0.1631,0.9814,-0.79,-0.73,-0.12
670775,0.0312,-0.1611,0.9814,-0.67,-0.73,-0.06
670797,0.0327,-0.1602,0.9834,-0.67,-0.79,-0.18
670820,0.0322,-0.1592,0.9829,-0.85,-0.67,-0.12
670842,0.0312,-0.1626,0.9824,-0.73,-0.79,-0.12
670865,0.0317,-0.1602,0.9824,-0.79,-0.73,-0.12
670887,0.0317,-0.1602,0.9805,-0.73,-0.73,-0.12
670910,0.0322,-0.1646,0.9858,-0.49,-0.67,-0.12
670932,0.0303,-0.1597,0.9854,-0.67,-0.79,-0.06
670955,0.0312,-0.1597,0.9780,-0.92,-0.61,-0.12
670977,0.0327,-0.1587,0.9819,-0.98,-0.67,0.00
671000,0.0317,-0.1616,0.9785,-0.85,-0.67,-0.06
671022,0.0312,-0.1616,0.9858,-0.67,-0.61,-0.06
671044,0.0308,-0.1621,0.9844,-0.61,-0.85,-0.06
671067,0.0303,-0.1626,0.9863,-0.67,-0.67,-0.12
671089,0.0317,-0.1616,0.9854,-0.67,-0.79,-0.12
671112,0.0322,-0.1602,0.9824,-0.73,-0.73,-0.06
671134,0.0293,-0.1606,0.9854,-0.79,-0.79,-0.12
671157,0.0298,-0.1621,0.9839,-0.73,-0.67,-0.12
671179,0.0312,-0.1611,0.9834,-0.67,-0.73,-0.06
671202,0.0308,-0.1621,0.9829,-0.67,-0.73,-0.12
671224,0.0327,-0.1611,0.9819,-0.73,-0.73,-0.12
671247,0.0312,-0.1626,0.9824,-0.73,-0.73,-0.12
671269,0.0303,-0.1626,0.9829,-0.73,-0.79,-0.12
671291,0.0327,-0.1621,0.9839,-0.67,-0.79,-0.06
671314,0.0322,-0.1592,0.9834,-0.85,-0.55,-0.06
671336,0.0312,-0.1611,0.9819,-0.79,-0.73,-0.18
671359,0.0298,-0.1631,0.9795,-0.73,-0.73,0.00
671381,0.0317,-0.1641,0.9810,-0.67,-0.79,-0.06
671404,0.0322,-0.1611,0.9834,-0.79,-0.73,-0.06
671426,0.0332,-0.1616,0.9814,-0.67,-0.73,-0.12
671449,0.0317,-0.1597,0.9849,-0.73,-0.73,-0.12
671471,0.0322,-0.1602,0.9839,-0.73,-0.73,-0.06
671494,0.0298,-0.1602,0.9800,-0.73,-0.79,-0.12
671516,0.0317,-0.1606,0.9814,-0.73,-0.73,-0.12
671539,0.0303,-0.1597,0.9829,-0.67,-0.79,-0.12
671561,0.0317,-0.1616,0.9810,-0.73,-0.55,-0.12
671583,0.0332,-0.1606,0.9839,-0.67,-0.85,-0.12
671606,0.0317,-0.1606,0.9834,-0.73,-0.73,-0.18
671628,0.0317,-0.1650,0.9834,-0.55,-0.73,-0.18
671651,0.0312,-0.1621,0.9888,-0.37,-0.73,-0.06
671673,0.0322,-0.1592,0.9854,-0.85,-0.73,-0.12
671696,0.0327,-0.1606,0.9829,-0.67,-0.73,-0.12
671718,0.0308,-0.1650,0.9868,-0.85,-0.67,-0.06
671741,0.0342,-0.1606,0.9863,-0.49,-0.79,0.00
671763,0.0308,-0.1592,0.9844,-0.61,-0.73,-0.12
671786,0.0312,-0.1592,0.9829,-0.73,-0.73,-0.06
671808,0.0317,-0.1611,0.9819,-0.85,-0.55,-0.12
671831,0.0317,-0.1621,0.9849,-0.73,-0.79,-0.12
