t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
23408625,-0.5342,-0.7998,0.3325,-0.67,-0.61,-15.62
23408637,-0.5342,-0.7998,0.3330,-0.67,-0.61,-15.62
23408650,-0.5342,-0.7969,0.3320,-0.73,-0.61,-0.06
23408663,-0.5337,-0.8003,0.3311,-0.85,-0.61,0.00
23408675,-0.5327,-0.7998,0.3320,-0.67,-0.61,-0.12
23408688,-0.5337,-0.8003,0.3345,-0.79,-0.61,-0.06
23408701,-0.5337,-0.7979,0.3340,-0.67,-0.61,-0.06
23408713,-0.5337,-0.7983,0.3320,-0.73,-0.61,-0.06
23408726,-0.5332,-0.7988,0.3345,-0.67,-0.61,-0.06
23408739,-0.5366,-0.7998,0.3330,-0.73,-0.61,-0.06
23408751,-0.5332,-0.7988,0.3345,-0.79,-0.43,-0.06
23408764,-0.5342,-0.7983,0.3320,-0.73,-0.61,0.00
23408777,-0.5337,-0.7983,0.3320,-0.73,-0.55,0.00
23408790,-0.5347,-0.7979,0.3345,-0.67,-0.61,-0.06
23408802,-0.5342,-0.7979,0.3330,-0.67,-0.49,0.00
23408815,-0.5322,-0.8008,0.3340,-0.79,-0.61,-0.12
23408828,-0.5347,-0.8003,0.3330,-0.67,-0.49,-0.06
23408840,-0.5327,-0.7969,0.3335,-0.73,-0.61,-0.06
23408853,-0.5322,-0.7988,0.3320,-0.61,-0.67,-0.06
23408866,-0.5342,-0.8003,0.3330,-0.79,-0.55,0.00
23408878,-0.5332,-0.7979,0.3330,-0.73,-0.55,-0.06
23408891,-0.5322,-0.7983,0.3315,-0.73,-0.55,0.00
23408904,-0.5327,-0.7988,0.3354,-0.73,-0.55,-0.06
23408916,-0.5332,-0.7998,0.3315,-0.73,-0.55,0.00
23408929,-0.5342,-0.8003,0.3315,-0.67,-0.61,-0.06
23408942,-0.5361,-0.7993,0.3330,-0.61,-0.67,-0.06
23408955,-0.5342,-0.7998,0.3340,-0.79,-0.55,-0.12
23408967,-0.5332,-0.7979,0.3335,-0.67,-0.49,-0.06
23408980,-0.5332,-0.7993,0.3330,-0.67,-0.61,-0.06
23408993,-0.5342,-0.7983,0.3325,-0.79,-0.49,0.06
23409005,-0.5337,-0.8003,0.3340,-0.67,-0.67,-0.12
23409018,-0.5337,-0.7993,0.3359,-0.73,-0.55,-0.06
23409031,-0.5332,-0.7998,0.3330,-0.67,-0.55,-0.06
23409043,-0.5347,-0.8003,0.3340,-0.73,-0.55,-0.06
23409056,-0.5332,-0.7974,0.3340,-0.85,-0.49,0.00
23409069,-0.5327,-0.7974,0.3325,-0.67,-0.61,-0.06
23409082,-0.5342,-0.7988,0.3330,-0.79,-0.55,0.00
23409094,-0.5347,-0.7988,0.3335,-0.73,-0.67,-0.06
23409107,-0.5347,-0.7993,0.3335,-0.73,-0.61,-0.06
23409120,-0.5342,-0.7993,0.3345,-0.73,-0.61,-0.12
23409132,-0.5327,-0.7979,0.3325,-0.73,-0.55,-0.12
23409145,-0.5342,-0.7979,0.3330,-0.73,-0.55,0.00
23409158,-0.5332,-0.7993,0.3335,-0.67,-0.61,-0.06
23409170,-0.5342,-0.7979,0.3345,-0.79,-0.55,-0.06
23409183,-0.5342,-0.7998,0.3340,-0.61,-0.61,0.00
23409196,-0.5347,-0.7983,0.3345,-0.73,-0.55,-0.12
23409208,-0.5356,-0.7983,0.3340,-0.73,-0.67,-0.06
23409221,-0.5356,-0.8003,0.3340,-0.73,-0.61,-0.06
23409234,-0.5342,-0.7993,0.3320,-0.73,-0.49,-0.06
23409247,-0.5347,-0.7988,0.3359,-0.73,-0.55,-0.06
23409259,-0.5332,-0.7988,0.3340,-0.73,-0.55,-0.06
23409272,-0.5342,-0.7983,0.3330,-0.73,-0.55,0.00
23409285,-0.5327,-0.7979,0.3325,-0.67,-0.61,-0.06
23409297,-0.5366,-0.7998,0.3315,-0.73,-0.61,-0.06
23409310,-0.5312,-0.7983,0.3311,-0.73,-0.61,-0.06
23409323,-0.5347,-0.7979,0.3335,-0.67,-0.67,0.00
23409335,-0.5337,-0.7988,0.3330,-0.79,-0.55,-0.06
23409348,-0.5337,-0.7988,0.3315,-0.79,-0.55,-0.06
23409361,-0.5332,-0.7993,0.3340,-0.73,-0.61,0.00
23409374,-0.5337,-0.8003,0.3315,-0.73,-0.55,-0.06
23409386,-0.5308,-0.7983,0.3320,-0.67,-0.61,-0.06
23409399,-0.5337,-0.7988,0.3340,-0.73,-0.61,-0.06
23409412,-0.5342,-0.7993,0.3320,-0.73,-0.61,0.00
23409424,-0.5347,-0.8003,0.3320,-0.67,-0.61,-0.12
23409437,-0.5327,-0.7993,0.3320,-0.73,-0.61,0.00
23409450,-0.5342,-0.7993,0.3325,-0.73,-0.55,-0.12
23409462,-0.5337,-0.8003,0.3335,-0.73,-0.55,-0.06
23409475,-0.5337,-0.8003,0.3335,-0.79,-0.49,-0.06
23409488,-0.5337,-0.7974,0.3330,-0.73,-0.55,-0.18
23409500,-0.5322,-0.7998,0.3345,-0.67,-0.73,-0.06
