idx,t,peak_mag,std_mag,max_jerk,peak_x,peak_y,peak_z,mean_mag,min_mag,label,hole,confidence
21.0,21.0,6614.4482421875,1839.1951904296875,3702.76318359375,4563.0,1880.0,6051.0,1850.988037109375,338.4730529785156,pitch,1,medium
23.0,23.0,2433.364990234375,635.385986328125,1106.0782470703125,2150.0,2067.0,354.0,1332.453857421875,192.15357971191406,putt,1,low
107.0,107.0,7518.5458984375,1728.90380859375,4334.3740234375,5277.0,2082.0,6583.0,2170.825439453125,905.7025146484375,pitch,2,medium
148.0,148.0,2776.325927734375,640.6015014648438,712.6856689453125,1854.0,1934.0,1129.0,1249.4869384765625,553.5955200195312,chip,2,low
176.0,176.0,2955.3095703125,740.8176879882812,929.94921875,2799.0,1237.0,618.0,1365.865966796875,293.4314270019531,putt,2,low
206.0,206.0,6708.25830078125,1759.266845703125,3083.473876953125,5185.0,1743.0,6165.0,2014.5335693359375,355.8482971191406,pitch,3,medium
209.0,209.0,2795.044189453125,507.88458251953125,1855.319580078125,2062.0,1604.0,1300.0,1214.832275390625,342.91253662109375,putt,3,low
336.0,336.0,6300.7509765625,1596.0130615234375,2677.22216796875,4756.0,1738.0,5779.0,2050.44677734375,354.35858154296875,pitch,4,medium
417.0,417.0,6971.951171875,1770.413330078125,3793.84716796875,5351.0,1880.0,6457.0,2266.14892578125,425.4949951171875,pitch,5,high
434.0,434.0,2081.66943359375,514.0782470703125,588.59814453125,1776.0,966.0,682.0,1047.5303955078125,280.2677307128906,putt,5,high
442.0,443.0,4175.12646484375,729.4923706054688,2877.227783203125,1477.0,3744.0,1825.0,1264.602783203125,589.75927734375,pitch,6,medium
482.0,483.0,2171.396240234375,550.2989501953125,346.63330078125,2140.0,522.0,361.0,1298.274658203125,542.8720092773438,putt,6,medium
488.0,489.0,2158.07763671875,554.4981689453125,914.01416015625,399.0,1937.0,1859.0,1110.7474365234375,276.673095703125,false_positive,6,medium
