shot_marker,timestamp,distance,unknown_87,heart_rate,cadence,temperature,fractional_cadence,unknown_134,unknown_135,unknown_136,unknown_143,peak_mag,min_mag,mean_mag,std_mag,max_jerk,peak_x,peak_y,peak_z,t,label,hole
1.0,2026-04-11 17:02:14,0.0,0,74,0,26,0.0,,83,74,26,2297.1240234375,501.46685791015625,1126.532958984375,494.8113708496094,904.3963623046875,1926.0,1203.0,1067.0,28.0,pitch,1
2.0,2026-04-11 17:02:46,0.0,0,86,0,25,0.0,,64,86,26,1443.162109375,379.35076904296875,919.0830078125,203.60914611816406,708.835205078125,289.0,415.0,1412.0,60.0,chip,1
3.0,2026-04-11 17:03:12,0.0,24012,73,0,25,0.0,,95,73,26,2042.7752685546875,885.0824584960938,1040.98486328125,242.98289489746094,1132.835693359375,615.0,883.0,1969.0,86.0,putt,1
4.0,2026-04-11 17:04:35,0.0,0,92,77,23,0.5,,69,92,26,1485.109130859375,669.123291015625,1011.1485595703125,211.54905700683594,378.26904296875,458.0,868.0,1267.0,169.0,pitch,2
5.0,2026-04-11 17:05:09,0.0,17563,89,0,23,0.0,,89,89,26,1040.64111328125,552.5812377929688,930.1082763671875,157.09799194335938,475.05999755859375,498.0,428.0,934.0,203.0,chip,2
6.0,2026-04-11 17:05:24,0.0,0,107,0,23,0.0,,38,107,26,1987.1353759765625,693.0728759765625,1002.6853637695312,239.34974670410156,1294.0625,709.0,642.0,1849.0,218.0,putt,2
7.0,2026-04-11 17:06:20,0.0,0,104,0,22,0.0,,26,104,26,2006.369140625,696.515625,1112.58984375,321.4149475097656,1076.642333984375,571.0,324.0,1934.0,274.0,pitch,3
8.0,2026-04-11 17:07:09,0.0,0,100,0,22,0.0,,106,100,26,1314.9254150390625,787.6160278320312,1024.283447265625,171.83143615722656,299.2685546875,593.0,821.0,1195.0,323.0,putt,3
9.0,2026-04-11 17:07:15,0.0,0,95,0,22,0.0,,103,95,26,1306.7589111328125,958.2776489257812,1061.0347900390625,88.4681625366211,301.77996826171875,798.0,1029.0,742.0,329.0,putt,3
10.0,2026-04-11 17:08:03,0.0,0,87,0,22,0.0,,102,87,26,1420.9422607421875,623.9182739257812,1005.9913940429688,170.09674072265625,281.7587890625,712.0,557.0,1288.0,377.0,pitch,4
11.0,2026-04-11 17:08:43,0.0,0,79,0,22,0.0,,83,79,26,1862.8193359375,619.660400390625,1093.0504150390625,316.3592834472656,915.18359375,1017.0,1416.0,1336.0,417.0,chip,4
12.0,2026-04-11 17:08:51,0.0,0,85,0,22,0.0,,79,85,26,1177.715576171875,880.6934814453125,1008.6719970703125,78.1845474243164,217.83575439453125,952.0,709.0,734.0,425.0,putt,4
