peak_mag,min_mag,mean_mag,std_mag,max_jerk,peak_x,peak_y,peak_z,t,marker_t,offset,label,hole
6520.236328125,418.49371337890625,1941.2894287109375,1631.6219482421875,5240.8125,4436.0,1871.0,6085.0,10.0,11.0,1.0,pitch,1
1660.4559326171875,339.5173034667969,984.6085815429688,253.52944946289062,1132.3677978515625,544.0,916.0,1648.0,58.0,58.0,0.0,putt,1
1589.9638671875,826.438720703125,1290.8746337890625,232.69691467285156,230.4937744140625,1574.0,503.0,269.0,67.0,66.0,-1.0,putt,1
6882.345703125,607.9292602539062,2069.8779296875,1615.6376953125,5250.1044921875,4573.0,1647.0,6560.0,107.0,109.0,2.0,pitch,2
1360.7479248046875,863.2728271484375,1063.6204833984375,118.41737365722656,277.6007080078125,1108.0,396.0,1111.0,140.0,146.0,6.0,putt,2
1857.15966796875,584.2242431640625,1064.1795654296875,348.01568603515625,684.8453369140625,821.0,1536.0,1808.0,163.0,162.0,-1.0,putt,2
1944.4888916015625,420.90496826171875,1193.6678466796875,393.4666748046875,1119.139892578125,1575.0,1500.0,1211.0,169.0,168.0,-1.0,putt,2
7202.2568359375,685.9314575195312,2244.309326171875,1801.8116455078125,3891.381591796875,4805.0,2765.0,5816.0,244.0,248.0,4.0,pitch,3
2273.532958984375,319.15826416015625,1224.339111328125,436.9780578613281,1078.097900390625,1434.0,1764.0,938.0,287.0,286.0,-1.0,putt,3
8473.294921875,567.5570678710938,1972.615478515625,2148.46484375,4808.51708984375,5860.0,2403.0,6573.0,366.0,368.0,2.0,pitch,4
1846.825927734375,172.59779357910156,1112.44921875,528.4454345703125,923.1849365234375,1807.0,1225.0,1684.0,412.0,411.0,-1.0,chip,4
1735.5762939453125,288.1440734863281,1205.574462890625,408.85791015625,414.71820068359375,1700.0,675.0,528.0,421.0,420.0,-1.0,putt,4
5627.48876953125,360.4524841308594,1861.9742431640625,1503.87353515625,3749.52685546875,3838.0,1812.0,5386.0,462.0,464.0,2.0,pitch,5
1874.7125244140625,809.6375732421875,1088.345458984375,231.84896850585938,791.0811767578125,801.0,600.0,1873.0,543.0,542.0,-1.0,chip,5
1248.2471923828125,196.76890563964844,898.7448120117188,282.1938171386719,911.8530883789062,471.0,474.0,1094.0,562.0,561.0,-1.0,putt,5
