marker,marker_t,peak_t,peak_mag,std_mag,max_jerk,lat,lon,peak_duration,rise_rate,peak_count,pre_stillness,hole,class
1,34.0,31.0,6731.07861328125,1497.7183837890625,2014.67333984375,53.762781377881765,-6.2479158863425255,80.0,37.85823059082031,1.0,1015.3248901367188,1,pitch
2,204.0,205.0,1484.13916015625,242.21435546875,289.259765625,53.76306694932282,-6.247408362105489,160.0,4.671926975250244,1.0,1018.7379760742188,1,putt
3,247.0,245.0,8116.41796875,1966.1595458984375,5903.099609375,53.76299771480262,-6.2478001322597265,80.0,45.2193603515625,1.0,1017.2330932617188,2,pitch
4,295.0,293.0,1905.080078125,227.8057098388672,634.5758056640625,53.76344078220427,-6.2472329288721085,40.0,8.65774917602539,1.0,1027.4625244140625,2,putt
5,302.0,296.0,1383.9190673828125,159.201904296875,323.4036865234375,53.76343013718724,-6.2472387962043285,40.0,0.0,2.0,1049.8043212890625,2,putt
6,351.0,349.0,7607.1953125,1904.4132080078125,2220.68408203125,53.763251435011625,-6.247117929160595,80.0,40.60506820678711,1.0,1013.0714721679688,3,pitch
7,408.0,405.0,2447.101806640625,456.3196105957031,467.3172607421875,53.763769352808595,-6.246994128450751,160.0,3.8010354042053223,1.0,1015.9290161132812,3,putt
8,425.0,426.0,1698.430419921875,356.22064208984375,345.60791015625,53.76366835087538,-6.24695205129683,200.0,5.058084011077881,1.0,1027.28076171875,3,putt
9,465.0,463.0,7351.23779296875,1909.8033447265625,2395.617919921875,53.76363289542496,-6.247263103723526,80.0,53.78715896606445,1.0,1015.4500122070312,4,pitch
10,508.0,508.0,1382.349853515625,126.44742584228516,368.12255859375,53.76396900974214,-6.246811738237739,200.0,0.0,2.0,1025.7635498046875,4,chip
11,518.0,512.0,1675.010986328125,166.72857666015625,630.3392333984375,53.76399884931743,-6.246766643598676,40.0,0.0,1.0,1052.5772705078125,4,putt
12,553.0,551.0,8124.55615234375,2063.509765625,5283.21875,53.76413203775883,-6.246612751856446,80.0,60.94855880737305,1.0,1024.44384765625,5,pitch
13,601.0,602.0,1148.8646240234375,51.4802360534668,201.57110595703125,53.76444292254746,-6.246058456599712,840.0,0.0,2.0,1025.0113525390625,5,putt
14,657.0,655.0,8540.7216796875,2045.614501953125,5430.7998046875,53.76422013156116,-6.246702438220382,80.0,50.84832763671875,1.0,1024.6253662109375,6,pitch
15,707.0,708.0,1284.017578125,109.26708221435547,402.679931640625,53.764613745734096,-6.246213018894196,40.0,0.0,3.0,1031.54736328125,6,putt
16,754.0,753.0,4750.94287109375,1216.05029296875,2526.463134765625,53.764504194259644,-6.246545193716884,80.0,20.17807388305664,1.0,1039.5181884765625,7,pitch
17,785.0,786.0,1302.9420166015625,206.14511108398438,754.9274291992188,53.76472229138017,-6.24624696560204,80.0,0.0,3.0,1026.6221923828125,7,putt
18,822.0,820.0,7324.53662109375,1900.846435546875,5051.66015625,53.76489160582423,-6.246169852092862,80.0,40.89356994628906,1.0,1058.203125,8,pitch
19,872.0,870.0,1447.3441162109375,186.62460327148438,350.7542724609375,53.764538476243615,-6.2455919198691845,280.0,0.0,1.0,1019.185302734375,8,chip
20,888.0,888.0,1382.500244140625,108.80242919921875,433.73101806640625,53.76459002494812,-6.245628297328949,40.0,0.0,2.0,1035.72607421875,8,chip
21,898.0,899.0,1239.8636474609375,76.22647857666016,361.91888427734375,53.764642076566815,-6.245663585141301,200.0,0.0,2.0,1025.6488037109375,8,putt
22,905.0,906.0,1588.9547119140625,375.3891906738281,291.71649169921875,53.76460217870772,-6.245690658688545,320.0,1.8224091529846191,2.0,1023.2975463867188,8,putt
23,956.0,954.0,8837.501953125,1970.224853515625,4789.40625,53.76446932554245,-6.245616897940636,40.0,62.48687744140625,1.0,1016.6538696289062,9,pitch
24,1010.0,1010.0,1625.3614501953125,258.3170471191406,575.134765625,53.76408090814948,-6.24634469859302,40.0,5.336550235748291,3.0,1034.5728759765625,9,chip
25,1015.0,1010.0,1625.3614501953125,258.3170471191406,575.134765625,53.76407361589372,-6.246328856796026,40.0,5.336550235748291,3.0,1034.5728759765625,9,chip
26,1081.0,1079.0,7622.38818359375,1979.46826171875,3527.3603515625,53.764287857338786,-6.245705913752317,80.0,61.15535354614258,1.0,1017.299560546875,10,pitch
27,1128.0,1129.0,1526.64794921875,221.51248168945312,697.7534790039062,53.763917461037636,-6.246296502649784,80.0,3.962350845336914,2.0,1042.0706787109375,10,putt
28,1177.0,1176.0,8966.9208984375,1929.3319091796875,2843.38427734375,53.763989210128784,-6.245705662295222,40.0,67.81306457519531,1.0,1016.3141479492188,11,pitch
29,1229.0,1228.0,2273.475830078125,392.64166259765625,960.850830078125,53.76365376636386,-6.246437905356288,120.0,0.0,1.0,1025.2989501953125,11,putt
30,1243.0,1244.0,1487.613525390625,225.20413208007812,634.8187255859375,53.76361864618957,-6.246347213163972,80.0,9.424001693725586,2.0,1029.6566162109375,11,putt
